Source,Target
58,1865
22,58
58,254
58,285
155,272
155,49026
155,209112
155,69735
176,680
170,176
176,550
176,185
272,98566
272,299536
272,297762
272,263115
22,285
285,297762
285,15472
350,65754
350,281957
350,466282
350,465136
411,2454
411,630
411,336843
411,671
672,673
673,674
673,12444
673,675
674,9880
674,675
674,81250
674,10140
672,675
675,767
671,675
671,767
672,767
673,767
674,767
1726,1924
1452,1726
1726,8536
1726,9531
1865,166426
1865,72197
22,1865
272,1930
155,1930
1930,209112
1924,1930
1949,16995
984,1949
1949,4638
769,1949
2048,59967
2048,101299
2048,500664
281,2048
4922,458594
510,4922
4922,458737
956,4922
8966,466282
8966,50619
8966,24021
8966,203739
9806,297762
1924,9806
1452,9806
8536,9806
10138,209112
155,10138
10138,297762
10138,299536
810,10191
1865,10191
10191,10674
10191,82702
1924,10195
1452,10195
8536,10195
9531,10195
984,10528
807,10528
4771,10528
10528,357096
10681,157336
10681,10803
604,10681
605,10681
1366,11036
1246,11036
7555,11036
11036,11232
11321,415086
11321,393961
11321,76127
11321,476889
11324,336843
11324,392044
11324,75780
11324,181283
2454,12155
12155,34584
10140,12155
12155,281957
767,12444
671,12444
672,12444
671,12445
767,12445
675,12445
12445,68728
13475,54138
13475,330459
13475,157336
348,13475
424,16869
16869,228150
637,16869
1771,16869
19995,157336
8077,19995
602,19995
18,19995
20352,342473
20352,93456
20352,267935
5176,20352
24428,246655
24428,49521
24428,141052
1924,24428
605,27205
604,27205
27205,353081
562,27205
605,27578
9461,27578
12162,27578
9462,27578
639,35056
35056,473149
2142,35056
35056,241239
646,36557
691,36557
10140,36557
562,36557
691,37724
37724,206647
36669,37724
954,37724
954,47971
646,47971
708,47971
691,47971
36647,49017
49017,228150
49017,400155
12437,49017
272,49026
49026,209112
49026,69735
49047,157336
2067,49047
62,49047
49047,369972
120,49051
121,49051
122,49051
49051,57158
1924,49521
1452,49521
8536,49521
9531,49521
18,49530
49530,263115
49530,333339
49530,76341
52371,370663
52371,258480
52371,152584
17612,52371
691,56292
954,56292
708,56292
681,56292
122,57158
120,57158
57158,122917
121,57158
10528,58574
58574,370567
49529,58574
8619,58574
58595,290595
408,58595
58595,385448
8840,58595
15472,61012
61012,376290
50456,61012
61012,293768
10144,62177
10555,62177
62177,109445
62177,326359
62764,290595
58595,62764
408,62764
10140,62764
65754,281957
1949,65754
15472,65754
65754,392044
272,68718
862,68718
1374,68718
33,68718
1924,68721
1452,68721
8536,68721
9531,68721
767,68737
671,68737
674,68737
68728,68737
500,75656
1124,75656
1572,75656
4349,75656
76338,246655
76338,99861
76338,141052
1924,76338
605,76341
8810,76341
76341,335984
76341,294254
76757,297762
76757,286217
95,76757
76757,157336
10054,82702
6637,82702
425,82702
218,87101
296,87101
605,87101
534,87101
91314,157336
91314,126889
348,91314
54138,91314
49519,93456
10054,93456
433,93456
98566,297762
98566,263115
604,98566
99861,246655
99861,141052
1924,99861
1927,99861
101299,281957
59967,101299
180,101299
10882,102651
102651,150689
5393,102651
102651,224141
99861,102899
102899,141052
1924,102899
1452,102899
13161,106646
627,106646
106646,400535
1359,106646
109445,326359
4523,109445
10020,109445
38757,109445
118340,283995
118340,299536
118340,157336
